omschrijving;mld_dat;Aantal
Arnhem                        ;12/06/2017;8
Breda                         ;12/06/2017;6
Den Bosch                     ;12/06/2017;1
Eindhoven                     ;12/06/2017;1
Haaglanden                    ;12/06/2017;3
Kempenland                    ;12/06/2017;3
Midden Limburg                ;12/06/2017;7
Midden Nederland              ;12/06/2017;7
Nijmegen                      ;12/06/2017;7
Ondernemersgebied             ;12/06/2017;8
Oost Brabant                  ;12/06/2017;1
Rotterdam                     ;12/06/2017;3
Tilburg                       ;12/06/2017;4
Twente/Achterhoek             ;12/06/2017;3
Veluwe/Flevoland              ;12/06/2017;4
West Brabant/Zeeland          ;12/06/2017;5
Arnhem                        ;11/06/2017;6
Breda                         ;11/06/2017;7
Den Bosch                     ;11/06/2017;2
Eindhoven                     ;11/06/2017;4
Haaglanden                    ;11/06/2017;1
Kempenland                    ;11/06/2017;2
Midden Limburg                ;11/06/2017;5
Nijmegen                      ;11/06/2017;5
Ondernemersgebied             ;11/06/2017;6
Oost Brabant                  ;11/06/2017;4
Rotterdam                     ;11/06/2017;1
Tilburg                       ;11/06/2017;3
Twente/Achterhoek             ;11/06/2017;4
Veluwe/Flevoland              ;11/06/2017;4
West Brabant/Zeeland          ;11/06/2017;3
Zuid Limburg                  ;11/06/2017;5
Arnhem                        ;10/06/2017;5
Breda                         ;10/06/2017;5
Den Bosch                     ;10/06/2017;3
Eindhoven                     ;10/06/2017;5
Haaglanden                    ;10/06/2017;2
Kempenland                    ;10/06/2017;7
Midden Limburg                ;10/06/2017;2
Midden Nederland              ;10/06/2017;3
Nijmegen                      ;10/06/2017;2
Ondernemersgebied             ;10/06/2017;10
Oost Brabant                  ;10/06/2017;2
Rotterdam                     ;10/06/2017;2
Tilburg                       ;10/06/2017;3
Twente/Achterhoek             ;10/06/2017;3
Veluwe/Flevoland              ;10/06/2017;3
West Brabant/Zeeland          ;10/06/2017;1
Zuid Limburg                  ;10/06/2017;4
Arnhem                        ;09/06/2017;8
Breda                         ;09/06/2017;6
Den Bosch                     ;09/06/2017;4
Eindhoven                     ;09/06/2017;6
Haaglanden                    ;09/06/2017;3
Kempenland                    ;09/06/2017;4
Midden Limburg                ;09/06/2017;6
Midden Nederland              ;09/06/2017;2
Nijmegen                      ;09/06/2017;5
Ondernemersgebied             ;09/06/2017;6
Oost Brabant                  ;09/06/2017;5
Rotterdam                     ;09/06/2017;5
Tilburg                       ;09/06/2017;6
Twente/Achterhoek             ;09/06/2017;8
Veluwe/Flevoland              ;09/06/2017;6
West Brabant/Zeeland          ;09/06/2017;2
Zuid Limburg                  ;09/06/2017;7
Arnhem                        ;08/06/2017;6
Breda                         ;08/06/2017;6
Den Bosch                     ;08/06/2017;2
Eindhoven                     ;08/06/2017;3
Haaglanden                    ;08/06/2017;1
Kempenland                    ;08/06/2017;4
Midden Limburg                ;08/06/2017;5
Midden Nederland              ;08/06/2017;4
Nijmegen                      ;08/06/2017;2
Ondernemersgebied             ;08/06/2017;11
Oost Brabant                  ;08/06/2017;7
Rotterdam                     ;08/06/2017;5
Tilburg                       ;08/06/2017;2
Twente/Achterhoek             ;08/06/2017;2
Veluwe/Flevoland              ;08/06/2017;2
West Brabant/Zeeland          ;08/06/2017;5
Zuid Limburg                  ;08/06/2017;6
Arnhem                        ;07/06/2017;10
Breda                         ;07/06/2017;3
Den Bosch                     ;07/06/2017;4
Eindhoven                     ;07/06/2017;3
Haaglanden                    ;07/06/2017;2
Kempenland                    ;07/06/2017;4
Midden Limburg                ;07/06/2017;6
Midden Nederland              ;07/06/2017;2
Nijmegen                      ;07/06/2017;5
Ondernemersgebied             ;07/06/2017;8
Oost Brabant                  ;07/06/2017;4
Rotterdam                     ;07/06/2017;3
Tilburg                       ;07/06/2017;6
Twente/Achterhoek             ;07/06/2017;3
Veluwe/Flevoland              ;07/06/2017;2
West Brabant/Zeeland          ;07/06/2017;4
Zuid Limburg                  ;07/06/2017;9
Arnhem                        ;06/06/2017;1
Breda                         ;06/06/2017;3
Den Bosch                     ;06/06/2017;4
Eindhoven                     ;06/06/2017;5
Haaglanden                    ;06/06/2017;2
Kempenland                    ;06/06/2017;3
Midden Limburg                ;06/06/2017;5
Midden Nederland              ;06/06/2017;5
Nijmegen                      ;06/06/2017;8
Ondernemersgebied             ;06/06/2017;6
Oost Brabant                  ;06/06/2017;7
Rotterdam                     ;06/06/2017;5
Tilburg                       ;06/06/2017;9
Twente/Achterhoek             ;06/06/2017;3
Veluwe/Flevoland              ;06/06/2017;2
West Brabant/Zeeland          ;06/06/2017;4
Zuid Limburg                  ;06/06/2017;4
Arnhem                        ;05/06/2017;4
Breda                         ;05/06/2017;2
Den Bosch                     ;05/06/2017;3
Eindhoven                     ;05/06/2017;2
Haaglanden                    ;05/06/2017;2
Kempenland                    ;05/06/2017;3
Midden Limburg                ;05/06/2017;5
Midden Nederland              ;05/06/2017;4
Nijmegen                      ;05/06/2017;6
Ondernemersgebied             ;05/06/2017;7
Oost Brabant                  ;05/06/2017;5
Rotterdam                     ;05/06/2017;4
Tilburg                       ;05/06/2017;1
Twente/Achterhoek             ;05/06/2017;4
Veluwe/Flevoland              ;05/06/2017;3
West Brabant/Zeeland          ;05/06/2017;4
Zuid Limburg                  ;05/06/2017;1
Arnhem                        ;04/06/2017;8
Breda                         ;04/06/2017;11
Den Bosch                     ;04/06/2017;3
Eindhoven                     ;04/06/2017;6
Haaglanden                    ;04/06/2017;2
Kempenland                    ;04/06/2017;1
Midden Limburg                ;04/06/2017;4
Midden Nederland              ;04/06/2017;6
Nijmegen                      ;04/06/2017;3
Ondernemersgebied             ;04/06/2017;7
Oost Brabant                  ;04/06/2017;3
Rotterdam                     ;04/06/2017;4
Tilburg                       ;04/06/2017;2
Twente/Achterhoek             ;04/06/2017;2
Veluwe/Flevoland              ;04/06/2017;3
West Brabant/Zeeland          ;04/06/2017;3
Zuid Limburg                  ;04/06/2017;1
Arnhem                        ;03/06/2017;2
Breda                         ;03/06/2017;6
Den Bosch                     ;03/06/2017;2
Eindhoven                     ;03/06/2017;9
Haaglanden                    ;03/06/2017;3
Kempenland                    ;03/06/2017;4
Midden Limburg                ;03/06/2017;4
Midden Nederland              ;03/06/2017;1
Nijmegen                      ;03/06/2017;5
Ondernemersgebied             ;03/06/2017;8
Oost Brabant                  ;03/06/2017;5
Rotterdam                     ;03/06/2017;1
Tilburg                       ;03/06/2017;5
Twente/Achterhoek             ;03/06/2017;4
Veluwe/Flevoland              ;03/06/2017;2
West Brabant/Zeeland          ;03/06/2017;4
Zuid Limburg                  ;03/06/2017;3
Arnhem                        ;02/06/2017;2
Breda                         ;02/06/2017;5
Den Bosch                     ;02/06/2017;7
Eindhoven                     ;02/06/2017;7
Haaglanden                    ;02/06/2017;1
Kempenland                    ;02/06/2017;6
Midden Limburg                ;02/06/2017;5
Midden Nederland              ;02/06/2017;5
Nijmegen                      ;02/06/2017;7
Ondernemersgebied             ;02/06/2017;10
Oost Brabant                  ;02/06/2017;7
Rotterdam                     ;02/06/2017;2
Tilburg                       ;02/06/2017;4
Twente/Achterhoek             ;02/06/2017;4
Veluwe/Flevoland              ;02/06/2017;2
West Brabant/Zeeland          ;02/06/2017;2
Zuid Limburg                  ;02/06/2017;6
Arnhem                        ;01/06/2017;2
Breda                         ;01/06/2017;6
Den Bosch                     ;01/06/2017;5
Haaglanden                    ;01/06/2017;3
Kempenland                    ;01/06/2017;4
Midden Nederland              ;01/06/2017;2
Nijmegen                      ;01/06/2017;8
Ondernemersgebied             ;01/06/2017;10
Oost Brabant                  ;01/06/2017;4
Rotterdam                     ;01/06/2017;4
Tilburg                       ;01/06/2017;4
Twente/Achterhoek             ;01/06/2017;4
Veluwe/Flevoland              ;01/06/2017;3
West Brabant/Zeeland          ;01/06/2017;2
Zuid Limburg                  ;01/06/2017;9
Arnhem                        ;31/05/2017;4
Breda                         ;31/05/2017;2
Den Bosch                     ;31/05/2017;6
Eindhoven                     ;31/05/2017;3
Haaglanden                    ;31/05/2017;1
Kempenland                    ;31/05/2017;1
Midden Limburg                ;31/05/2017;6
Midden Nederland              ;31/05/2017;5
Nijmegen                      ;31/05/2017;5
Ondernemersgebied             ;31/05/2017;11
Oost Brabant                  ;31/05/2017;4
Rotterdam                     ;31/05/2017;3
Tilburg                       ;31/05/2017;4
Twente/Achterhoek             ;31/05/2017;3
Veluwe/Flevoland              ;31/05/2017;3
West Brabant/Zeeland          ;31/05/2017;4
Zuid Limburg                  ;31/05/2017;3
Arnhem                        ;30/05/2017;4
Breda                         ;30/05/2017;4
Den Bosch                     ;30/05/2017;2
Eindhoven                     ;30/05/2017;4
Haaglanden                    ;30/05/2017;1
Kempenland                    ;30/05/2017;7
Midden Limburg                ;30/05/2017;3
Midden Nederland              ;30/05/2017;2
Nijmegen                      ;30/05/2017;4
Ondernemersgebied             ;30/05/2017;6
Oost Brabant                  ;30/05/2017;6
Rotterdam                     ;30/05/2017;6
Tilburg                       ;30/05/2017;5
Twente/Achterhoek             ;30/05/2017;3
Veluwe/Flevoland              ;30/05/2017;2
West Brabant/Zeeland          ;30/05/2017;5
Zuid Limburg                  ;30/05/2017;6
Arnhem                        ;29/05/2017;5
Breda                         ;29/05/2017;5
Den Bosch                     ;29/05/2017;2
Eindhoven                     ;29/05/2017;7
Haaglanden                    ;29/05/2017;2
Kempenland                    ;29/05/2017;1
Midden Limburg                ;29/05/2017;6
Midden Nederland              ;29/05/2017;5
Nijmegen                      ;29/05/2017;5
Ondernemersgebied             ;29/05/2017;6
Oost Brabant                  ;29/05/2017;3
Rotterdam                     ;29/05/2017;3
Tilburg                       ;29/05/2017;6
Twente/Achterhoek             ;29/05/2017;3
Veluwe/Flevoland              ;29/05/2017;5
West Brabant/Zeeland          ;29/05/2017;6
Zuid Limburg                  ;29/05/2017;2
Arnhem                        ;28/05/2017;2
Breda                         ;28/05/2017;3
Den Bosch                     ;28/05/2017;5
Eindhoven                     ;28/05/2017;8
Haaglanden                    ;28/05/2017;3
Kempenland                    ;28/05/2017;4
Midden Limburg                ;28/05/2017;6
Midden Nederland              ;28/05/2017;1
Nijmegen                      ;28/05/2017;6
Ondernemersgebied             ;28/05/2017;8
Oost Brabant                  ;28/05/2017;2
Rotterdam                     ;28/05/2017;3
Tilburg                       ;28/05/2017;7
Twente/Achterhoek             ;28/05/2017;8
Veluwe/Flevoland              ;28/05/2017;3
West Brabant/Zeeland          ;28/05/2017;3
Zuid Limburg                  ;28/05/2017;3
Arnhem                        ;27/05/2017;2
Breda                         ;27/05/2017;2
Den Bosch                     ;27/05/2017;1
Eindhoven                     ;27/05/2017;2
Kempenland                    ;27/05/2017;5
Midden Limburg                ;27/05/2017;3
Nijmegen                      ;27/05/2017;9
Ondernemersgebied             ;27/05/2017;10
Oost Brabant                  ;27/05/2017;3
Rotterdam                     ;27/05/2017;2
Tilburg                       ;27/05/2017;2
Twente/Achterhoek             ;27/05/2017;7
Veluwe/Flevoland              ;27/05/2017;2
West Brabant/Zeeland          ;27/05/2017;4
Zuid Limburg                  ;27/05/2017;6
Arnhem                        ;26/05/2017;5
Breda                         ;26/05/2017;3
Den Bosch                     ;26/05/2017;5
Eindhoven                     ;26/05/2017;3
Haaglanden                    ;26/05/2017;2
Kempenland                    ;26/05/2017;2
Midden Limburg                ;26/05/2017;7
Midden Nederland              ;26/05/2017;2
Nijmegen                      ;26/05/2017;4
Ondernemersgebied             ;26/05/2017;7
Oost Brabant                  ;26/05/2017;5
Rotterdam                     ;26/05/2017;5
Tilburg                       ;26/05/2017;9
Twente/Achterhoek             ;26/05/2017;3
Veluwe/Flevoland              ;26/05/2017;3
West Brabant/Zeeland          ;26/05/2017;1
Zuid Limburg                  ;26/05/2017;1
Arnhem                        ;25/05/2017;4
Breda                         ;25/05/2017;1
Eindhoven                     ;25/05/2017;5
Haaglanden                    ;25/05/2017;3
Kempenland                    ;25/05/2017;5
Midden Limburg                ;25/05/2017;8
Midden Nederland              ;25/05/2017;3
Nijmegen                      ;25/05/2017;5
Ondernemersgebied             ;25/05/2017;14
Oost Brabant                  ;25/05/2017;3
Rotterdam                     ;25/05/2017;3
Tilburg                       ;25/05/2017;4
Twente/Achterhoek             ;25/05/2017;7
Veluwe/Flevoland              ;25/05/2017;3
West Brabant/Zeeland          ;25/05/2017;9
Zuid Limburg                  ;25/05/2017;1
Arnhem                        ;24/05/2017;8
Breda                         ;24/05/2017;2
Den Bosch                     ;24/05/2017;5
Eindhoven                     ;24/05/2017;4
Haaglanden                    ;24/05/2017;2
Kempenland                    ;24/05/2017;6
Midden Limburg                ;24/05/2017;7
Midden Nederland              ;24/05/2017;4
Nijmegen                      ;24/05/2017;5
Ondernemersgebied             ;24/05/2017;11
Oost Brabant                  ;24/05/2017;3
Rotterdam                     ;24/05/2017;4
Tilburg                       ;24/05/2017;2
Twente/Achterhoek             ;24/05/2017;1
Veluwe/Flevoland              ;24/05/2017;4
West Brabant/Zeeland          ;24/05/2017;1
Zuid Limburg                  ;24/05/2017;7
Arnhem                        ;23/05/2017;4
Breda                         ;23/05/2017;1
Den Bosch                     ;23/05/2017;3
Eindhoven                     ;23/05/2017;4
Haaglanden                    ;23/05/2017;1
Kempenland                    ;23/05/2017;7
Midden Limburg                ;23/05/2017;2
Midden Nederland              ;23/05/2017;5
Nijmegen                      ;23/05/2017;8
Ondernemersgebied             ;23/05/2017;4
Oost Brabant                  ;23/05/2017;2
Rotterdam                     ;23/05/2017;4
Tilburg                       ;23/05/2017;8
Twente/Achterhoek             ;23/05/2017;5
Veluwe/Flevoland              ;23/05/2017;5
West Brabant/Zeeland          ;23/05/2017;4
Zuid Limburg                  ;23/05/2017;8
Arnhem                        ;22/05/2017;1
Breda                         ;22/05/2017;2
Den Bosch                     ;22/05/2017;6
Eindhoven                     ;22/05/2017;4
Haaglanden                    ;22/05/2017;3
Kempenland                    ;22/05/2017;5
Midden Limburg                ;22/05/2017;3
Midden Nederland              ;22/05/2017;7
Nijmegen                      ;22/05/2017;2
Ondernemersgebied             ;22/05/2017;7
Oost Brabant                  ;22/05/2017;1
Rotterdam                     ;22/05/2017;3
Tilburg                       ;22/05/2017;4
Twente/Achterhoek             ;22/05/2017;5
Veluwe/Flevoland              ;22/05/2017;1
West Brabant/Zeeland          ;22/05/2017;2
Zuid Limburg                  ;22/05/2017;6
Arnhem                        ;21/05/2017;4
Breda                         ;21/05/2017;6
Den Bosch                     ;21/05/2017;8
Eindhoven                     ;21/05/2017;4
Haaglanden                    ;21/05/2017;1
Kempenland                    ;21/05/2017;3
Midden Limburg                ;21/05/2017;4
Midden Nederland              ;21/05/2017;5
Nijmegen                      ;21/05/2017;4
Ondernemersgebied             ;21/05/2017;1
Oost Brabant                  ;21/05/2017;4
Tilburg                       ;21/05/2017;3
Twente/Achterhoek             ;21/05/2017;4
Veluwe/Flevoland              ;21/05/2017;5
West Brabant/Zeeland          ;21/05/2017;3
Zuid Limburg                  ;21/05/2017;4
Arnhem                        ;20/05/2017;4
Breda                         ;20/05/2017;1
Den Bosch                     ;20/05/2017;6
Eindhoven                     ;20/05/2017;5
Haaglanden                    ;20/05/2017;2
Midden Limburg                ;20/05/2017;1
Midden Nederland              ;20/05/2017;3
Nijmegen                      ;20/05/2017;4
Ondernemersgebied             ;20/05/2017;11
Rotterdam                     ;20/05/2017;5
Tilburg                       ;20/05/2017;4
Twente/Achterhoek             ;20/05/2017;1
Veluwe/Flevoland              ;20/05/2017;1
West Brabant/Zeeland          ;20/05/2017;4
Zuid Limburg                  ;20/05/2017;3
Arnhem                        ;19/05/2017;4
Breda                         ;19/05/2017;5
Den Bosch                     ;19/05/2017;7
Eindhoven                     ;19/05/2017;6
Haaglanden                    ;19/05/2017;3
Kempenland                    ;19/05/2017;4
Midden Limburg                ;19/05/2017;2
Midden Nederland              ;19/05/2017;4
Nijmegen                      ;19/05/2017;4
Ondernemersgebied             ;19/05/2017;14
Oost Brabant                  ;19/05/2017;7
Rotterdam                     ;19/05/2017;2
Tilburg                       ;19/05/2017;2
Twente/Achterhoek             ;19/05/2017;12
Veluwe/Flevoland              ;19/05/2017;2
West Brabant/Zeeland          ;19/05/2017;5
Zuid Limburg                  ;19/05/2017;7
Arnhem                        ;18/05/2017;5
Breda                         ;18/05/2017;1
Den Bosch                     ;18/05/2017;3
Eindhoven                     ;18/05/2017;1
Haaglanden                    ;18/05/2017;3
Kempenland                    ;18/05/2017;5
Midden Limburg                ;18/05/2017;4
Midden Nederland              ;18/05/2017;5
Nijmegen                      ;18/05/2017;7
Ondernemersgebied             ;18/05/2017;10
Oost Brabant                  ;18/05/2017;1
Rotterdam                     ;18/05/2017;3
Twente/Achterhoek             ;18/05/2017;4
West Brabant/Zeeland          ;18/05/2017;4
Zuid Limburg                  ;18/05/2017;6
Arnhem                        ;17/05/2017;6
Breda                         ;17/05/2017;1
Den Bosch                     ;17/05/2017;2
Eindhoven                     ;17/05/2017;3
Haaglanden                    ;17/05/2017;4
Kempenland                    ;17/05/2017;6
Midden Limburg                ;17/05/2017;3
Midden Nederland              ;17/05/2017;1
Nijmegen                      ;17/05/2017;6
Ondernemersgebied             ;17/05/2017;11
Oost Brabant                  ;17/05/2017;5
Rotterdam                     ;17/05/2017;2
Tilburg                       ;17/05/2017;2
Twente/Achterhoek             ;17/05/2017;7
Veluwe/Flevoland              ;17/05/2017;3
West Brabant/Zeeland          ;17/05/2017;4
Zuid Limburg                  ;17/05/2017;1
Arnhem                        ;16/05/2017;1
Breda                         ;16/05/2017;6
Den Bosch                     ;16/05/2017;4
Eindhoven                     ;16/05/2017;7
Haaglanden                    ;16/05/2017;2
Kempenland                    ;16/05/2017;5
Midden Limburg                ;16/05/2017;6
Midden Nederland              ;16/05/2017;4
Nijmegen                      ;16/05/2017;7
Ondernemersgebied             ;16/05/2017;11
Oost Brabant                  ;16/05/2017;5
Rotterdam                     ;16/05/2017;1
Tilburg                       ;16/05/2017;3
Twente/Achterhoek             ;16/05/2017;4
Veluwe/Flevoland              ;16/05/2017;2
West Brabant/Zeeland          ;16/05/2017;3
Zuid Limburg                  ;16/05/2017;7
Arnhem                        ;15/05/2017;4
Breda                         ;15/05/2017;4
Den Bosch                     ;15/05/2017;5
Eindhoven                     ;15/05/2017;6
Haaglanden                    ;15/05/2017;3
Kempenland                    ;15/05/2017;5
Midden Nederland              ;15/05/2017;3
Nijmegen                      ;15/05/2017;5
Ondernemersgebied             ;15/05/2017;9
Oost Brabant                  ;15/05/2017;5
Rotterdam                     ;15/05/2017;9
Tilburg                       ;15/05/2017;6
Twente/Achterhoek             ;15/05/2017;3
Veluwe/Flevoland              ;15/05/2017;2
West Brabant/Zeeland          ;15/05/2017;3
Zuid Limburg                  ;15/05/2017;2
Arnhem                        ;14/05/2017;5
Breda                         ;14/05/2017;1
Den Bosch                     ;14/05/2017;3
Eindhoven                     ;14/05/2017;1
Haaglanden                    ;14/05/2017;5
Midden Limburg                ;14/05/2017;5
Midden Nederland              ;14/05/2017;4
Nijmegen                      ;14/05/2017;3
Ondernemersgebied             ;14/05/2017;9
Oost Brabant                  ;14/05/2017;2
Rotterdam                     ;14/05/2017;2
Tilburg                       ;14/05/2017;5
Twente/Achterhoek             ;14/05/2017;2
Veluwe/Flevoland              ;14/05/2017;6
West Brabant/Zeeland          ;14/05/2017;10
Zuid Limburg                  ;14/05/2017;3
Arnhem                        ;13/05/2017;9
Breda                         ;13/05/2017;2
Den Bosch                     ;13/05/2017;3
Eindhoven                     ;13/05/2017;4
Haaglanden                    ;13/05/2017;2
Kempenland                    ;13/05/2017;2
Midden Limburg                ;13/05/2017;1
Midden Nederland              ;13/05/2017;3
Nijmegen                      ;13/05/2017;4
Ondernemersgebied             ;13/05/2017;8
Oost Brabant                  ;13/05/2017;6
Rotterdam                     ;13/05/2017;5
Tilburg                       ;13/05/2017;1
Twente/Achterhoek             ;13/05/2017;2
Veluwe/Flevoland              ;13/05/2017;3
West Brabant/Zeeland          ;13/05/2017;2
Zuid Limburg                  ;13/05/2017;4
Arnhem                        ;12/05/2017;4
Breda                         ;12/05/2017;4
Den Bosch                     ;12/05/2017;6
Eindhoven                     ;12/05/2017;13
Haaglanden                    ;12/05/2017;2
Kempenland                    ;12/05/2017;4
Midden Limburg                ;12/05/2017;4
Midden Nederland              ;12/05/2017;3
Nijmegen                      ;12/05/2017;11
Ondernemersgebied             ;12/05/2017;13
Oost Brabant                  ;12/05/2017;1
Rotterdam                     ;12/05/2017;1
Tilburg                       ;12/05/2017;2
Twente/Achterhoek             ;12/05/2017;3
Veluwe/Flevoland              ;12/05/2017;3
Zuid Limburg                  ;12/05/2017;5
Arnhem                        ;11/05/2017;3
Breda                         ;11/05/2017;2
Den Bosch                     ;11/05/2017;2
Eindhoven                     ;11/05/2017;3
Haaglanden                    ;11/05/2017;5
Kempenland                    ;11/05/2017;7
Midden Limburg                ;11/05/2017;8
Midden Nederland              ;11/05/2017;6
Nijmegen                      ;11/05/2017;5
Ondernemersgebied             ;11/05/2017;9
Oost Brabant                  ;11/05/2017;1
Rotterdam                     ;11/05/2017;1
Tilburg                       ;11/05/2017;9
Twente/Achterhoek             ;11/05/2017;3
West Brabant/Zeeland          ;11/05/2017;3
Zuid Limburg                  ;11/05/2017;3
Arnhem                        ;10/05/2017;3
Breda                         ;10/05/2017;4
Eindhoven                     ;10/05/2017;2
Haaglanden                    ;10/05/2017;6
Kempenland                    ;10/05/2017;6
Midden Limburg                ;10/05/2017;3
Midden Nederland              ;10/05/2017;3
Nijmegen                      ;10/05/2017;4
Ondernemersgebied             ;10/05/2017;13
Oost Brabant                  ;10/05/2017;4
Rotterdam                     ;10/05/2017;2
Tilburg                       ;10/05/2017;4
Twente/Achterhoek             ;10/05/2017;5
Veluwe/Flevoland              ;10/05/2017;3
West Brabant/Zeeland          ;10/05/2017;2
Zuid Limburg                  ;10/05/2017;10
Arnhem                        ;09/05/2017;1
Breda                         ;09/05/2017;5
Den Bosch                     ;09/05/2017;6
Eindhoven                     ;09/05/2017;2
Haaglanden                    ;09/05/2017;2
Kempenland                    ;09/05/2017;3
Midden Limburg                ;09/05/2017;7
Midden Nederland              ;09/05/2017;7
Nijmegen                      ;09/05/2017;5
Ondernemersgebied             ;09/05/2017;9
Oost Brabant                  ;09/05/2017;3
Rotterdam                     ;09/05/2017;1
Tilburg                       ;09/05/2017;4
Twente/Achterhoek             ;09/05/2017;5
Veluwe/Flevoland              ;09/05/2017;5
West Brabant/Zeeland          ;09/05/2017;5
Zuid Limburg                  ;09/05/2017;2
Arnhem                        ;08/05/2017;7
Breda                         ;08/05/2017;7
Den Bosch                     ;08/05/2017;4
Eindhoven                     ;08/05/2017;5
Haaglanden                    ;08/05/2017;2
Kempenland                    ;08/05/2017;3
Midden Limburg                ;08/05/2017;1
Midden Nederland              ;08/05/2017;1
Nijmegen                      ;08/05/2017;2
Ondernemersgebied             ;08/05/2017;10
Oost Brabant                  ;08/05/2017;3
Rotterdam                     ;08/05/2017;2
Tilburg                       ;08/05/2017;3
Twente/Achterhoek             ;08/05/2017;5
Veluwe/Flevoland              ;08/05/2017;4
West Brabant/Zeeland          ;08/05/2017;3
Zuid Limburg                  ;08/05/2017;2
Arnhem                        ;07/05/2017;2
Breda                         ;07/05/2017;1
Den Bosch                     ;07/05/2017;4
Eindhoven                     ;07/05/2017;3
Haaglanden                    ;07/05/2017;1
Kempenland                    ;07/05/2017;2
Midden Limburg                ;07/05/2017;5
Midden Nederland              ;07/05/2017;6
Nijmegen                      ;07/05/2017;2
Ondernemersgebied             ;07/05/2017;9
Rotterdam                     ;07/05/2017;3
Tilburg                       ;07/05/2017;6
Twente/Achterhoek             ;07/05/2017;3
West Brabant/Zeeland          ;07/05/2017;2
Zuid Limburg                  ;07/05/2017;5
Arnhem                        ;06/05/2017;2
Breda                         ;06/05/2017;4
Den Bosch                     ;06/05/2017;3
Eindhoven                     ;06/05/2017;6
Haaglanden                    ;06/05/2017;1
Kempenland                    ;06/05/2017;4
Midden Limburg                ;06/05/2017;5
Midden Nederland              ;06/05/2017;2
Nijmegen                      ;06/05/2017;5
Ondernemersgebied             ;06/05/2017;16
Oost Brabant                  ;06/05/2017;4
Rotterdam                     ;06/05/2017;2
Tilburg                       ;06/05/2017;6
Twente/Achterhoek             ;06/05/2017;5
Veluwe/Flevoland              ;06/05/2017;2
West Brabant/Zeeland          ;06/05/2017;4
Zuid Limburg                  ;06/05/2017;7
Arnhem                        ;05/05/2017;2
Breda                         ;05/05/2017;4
Den Bosch                     ;05/05/2017;7
Eindhoven                     ;05/05/2017;3
Haaglanden                    ;05/05/2017;3
Kempenland                    ;05/05/2017;2
Midden Limburg                ;05/05/2017;3
Midden Nederland              ;05/05/2017;2
Nijmegen                      ;05/05/2017;8
Ondernemersgebied             ;05/05/2017;6
Oost Brabant                  ;05/05/2017;2
Rotterdam                     ;05/05/2017;2
Tilburg                       ;05/05/2017;6
Twente/Achterhoek             ;05/05/2017;4
Veluwe/Flevoland              ;05/05/2017;2
West Brabant/Zeeland          ;05/05/2017;1
Zuid Limburg                  ;05/05/2017;6
Arnhem                        ;04/05/2017;3
Breda                         ;04/05/2017;5
Den Bosch                     ;04/05/2017;3
Eindhoven                     ;04/05/2017;6
Haaglanden                    ;04/05/2017;2
Kempenland                    ;04/05/2017;6
Midden Limburg                ;04/05/2017;4
Midden Nederland              ;04/05/2017;6
Nijmegen                      ;04/05/2017;4
Ondernemersgebied             ;04/05/2017;17
Oost Brabant                  ;04/05/2017;3
Rotterdam                     ;04/05/2017;6
Tilburg                       ;04/05/2017;7
Twente/Achterhoek             ;04/05/2017;8
Veluwe/Flevoland              ;04/05/2017;1
West Brabant/Zeeland          ;04/05/2017;5
Zuid Limburg                  ;04/05/2017;6
Arnhem                        ;03/05/2017;4
Breda                         ;03/05/2017;4
Den Bosch                     ;03/05/2017;4
Eindhoven                     ;03/05/2017;6
Haaglanden                    ;03/05/2017;3
Kempenland                    ;03/05/2017;3
Midden Nederland              ;03/05/2017;6
Nijmegen                      ;03/05/2017;5
Ondernemersgebied             ;03/05/2017;11
Rotterdam                     ;03/05/2017;4
Tilburg                       ;03/05/2017;6
Twente/Achterhoek             ;03/05/2017;4
Veluwe/Flevoland              ;03/05/2017;6
West Brabant/Zeeland          ;03/05/2017;5
Zuid Limburg                  ;03/05/2017;3
Arnhem                        ;02/05/2017;5
Breda                         ;02/05/2017;4
Den Bosch                     ;02/05/2017;7
Eindhoven                     ;02/05/2017;7
Haaglanden                    ;02/05/2017;3
Kempenland                    ;02/05/2017;7
Midden Limburg                ;02/05/2017;2
Midden Nederland              ;02/05/2017;7
Nijmegen                      ;02/05/2017;5
Ondernemersgebied             ;02/05/2017;7
Oost Brabant                  ;02/05/2017;3
Rotterdam                     ;02/05/2017;2
Tilburg                       ;02/05/2017;6
Twente/Achterhoek             ;02/05/2017;3
Veluwe/Flevoland              ;02/05/2017;6
West Brabant/Zeeland          ;02/05/2017;5
Zuid Limburg                  ;02/05/2017;6
Arnhem                        ;01/05/2017;3
Breda                         ;01/05/2017;4
Den Bosch                     ;01/05/2017;5
Eindhoven                     ;01/05/2017;6
Haaglanden                    ;01/05/2017;4
Kempenland                    ;01/05/2017;1
Midden Limburg                ;01/05/2017;10
Midden Nederland              ;01/05/2017;3
Nijmegen                      ;01/05/2017;5
Ondernemersgebied             ;01/05/2017;9
Oost Brabant                  ;01/05/2017;4
Rotterdam                     ;01/05/2017;5
Tilburg                       ;01/05/2017;6
Twente/Achterhoek             ;01/05/2017;4
Veluwe/Flevoland              ;01/05/2017;2
West Brabant/Zeeland          ;01/05/2017;3
Zuid Limburg                  ;01/05/2017;6
Arnhem                        ;30/04/2017;2
Breda                         ;30/04/2017;4
Den Bosch                     ;30/04/2017;4
Eindhoven                     ;30/04/2017;1
