omschrijving;mld_dat;Aantal
NOORD                         ;13/12/2020;3
Ondernemersgebied             ;13/12/2020;9
Oost Brabant                  ;13/12/2020;4
Rotterdam                     ;13/12/2020;4
Tilburg                       ;13/12/2020;6
Twente/Achterhoek             ;13/12/2020;4
Veluwe-IJssel                 ;13/12/2020;1
West Brabant/Zeeland          ;13/12/2020;5
Zuid Limburg                  ;13/12/2020;10
Arnhem                        ;12/12/2020;3
Breda                         ;12/12/2020;4
Den Bosch                     ;12/12/2020;10
Eindhoven                     ;12/12/2020;11
Haaglanden                    ;12/12/2020;2
Kempenland                    ;12/12/2020;2
Midden Limburg                ;12/12/2020;2
Midden Nederland              ;12/12/2020;7
Nijmegen                      ;12/12/2020;6
NOORD                         ;12/12/2020;2
Ondernemersgebied             ;12/12/2020;7
Oost Brabant                  ;12/12/2020;5
Rotterdam                     ;12/12/2020;1
Tilburg                       ;12/12/2020;9
Veluwe-IJssel                 ;12/12/2020;2
West Brabant/Zeeland          ;12/12/2020;4
Zuid Limburg                  ;12/12/2020;5
Arnhem                        ;11/12/2020;5
Breda                         ;11/12/2020;7
Den Bosch                     ;11/12/2020;8
Eindhoven                     ;11/12/2020;6
Haaglanden                    ;11/12/2020;6
Kempenland                    ;11/12/2020;2
Midden Limburg                ;11/12/2020;3
Midden Nederland              ;11/12/2020;7
Nijmegen                      ;11/12/2020;1
NOORD                         ;11/12/2020;2
Ondernemersgebied             ;11/12/2020;10
Oost Brabant                  ;11/12/2020;1
Rotterdam                     ;11/12/2020;7
Tilburg                       ;11/12/2020;8
Twente/Achterhoek             ;11/12/2020;2
Veluwe-IJssel                 ;11/12/2020;2
West Brabant/Zeeland          ;11/12/2020;5
Zuid Limburg                  ;11/12/2020;5
Arnhem                        ;10/12/2020;7
Breda                         ;10/12/2020;7
Den Bosch                     ;10/12/2020;10
Eindhoven                     ;10/12/2020;13
Haaglanden                    ;10/12/2020;4
Kempenland                    ;10/12/2020;4
Midden Limburg                ;10/12/2020;7
Midden Nederland              ;10/12/2020;7
Nijmegen                      ;10/12/2020;8
NOORD                         ;10/12/2020;2
Ondernemersgebied             ;10/12/2020;12
Oost Brabant                  ;10/12/2020;4
Rotterdam                     ;10/12/2020;6
Tilburg                       ;10/12/2020;9
Twente/Achterhoek             ;10/12/2020;8
Veluwe-IJssel                 ;10/12/2020;3
West Brabant/Zeeland          ;10/12/2020;4
Zuid Limburg                  ;10/12/2020;9
Arnhem                        ;09/12/2020;9
Breda                         ;09/12/2020;3
Den Bosch                     ;09/12/2020;7
Eindhoven                     ;09/12/2020;6
Haaglanden                    ;09/12/2020;5
Kempenland                    ;09/12/2020;6
Midden Limburg                ;09/12/2020;6
Midden Nederland              ;09/12/2020;5
Nijmegen                      ;09/12/2020;3
NOORD                         ;09/12/2020;7
Ondernemersgebied             ;09/12/2020;7
Oost Brabant                  ;09/12/2020;3
Rotterdam                     ;09/12/2020;6
Tilburg                       ;09/12/2020;7
Twente/Achterhoek             ;09/12/2020;6
Veluwe-IJssel                 ;09/12/2020;4
West Brabant/Zeeland          ;09/12/2020;5
Zuid Limburg                  ;09/12/2020;2
Arnhem                        ;08/12/2020;7
Breda                         ;08/12/2020;7
Den Bosch                     ;08/12/2020;10
Eindhoven                     ;08/12/2020;6
Haaglanden                    ;08/12/2020;3
Kempenland                    ;08/12/2020;2
Midden Limburg                ;08/12/2020;6
Midden Nederland              ;08/12/2020;5
Nijmegen                      ;08/12/2020;6
NOORD                         ;08/12/2020;5
Ondernemersgebied             ;08/12/2020;10
Oost Brabant                  ;08/12/2020;3
Rotterdam                     ;08/12/2020;2
